position_valid,std,x,y,z,distance_r0,distance_r1,distance_r2,distance_r3,nsd_r0,nsd_r1,nsd_r2,nsd_r3,rssi_r0,rssi_r1,rssi_r2,rssi_r3,valid_r0,valid_r1,valid_r2,valid_r3,timestamp
True,1.6913386583328247,8.04181957244873,1.2710015773773193,0.9102455973625183,8.071200370788574,7.410399913787842,7.315999984741211,7.693600177764893,-68.09969329833984,-85.70464324951172,-70.66764831542969,-88.91685485839844,-67.70689392089844,-62.58876419067383,-56.60497283935547,-62.381568908691406,1,1,1,1,1685982475.0603504
True,1.6876680850982666,8.014369010925293,1.2689787149429321,0.6464657187461853,8.071200370788574,7.410399913787842,7.315999984741211,7.693600177764893,-63.47978591918945,-65.94371795654297,-64.07420349121094,-92.91181182861328,-67.78434753417969,-63.08961486816406,-55.513160705566406,-62.92599868774414,1,1,1,1,1685982475.56632
True,1.687034010887146,8.003080368041992,1.267511248588562,0.6410525441169739,8.071200370788574,7.410399913787842,7.315999984741211,7.646399974822998,-72.87425994873047,-67.04875946044922,-65.55403137207031,-76.94512176513672,-68.54859924316406,-64.2441635131836,-58.82497787475586,-63.48873519897461,1,1,1,1,1685982476.0722587
True,1.6870936155319214,7.9698615074157715,1.262294888496399,0.8720974922180176,8.02400016784668,7.3632001876831055,7.268799781799316,7.5991997718811035,-101.04279327392578,-102.59662628173828,-100.1865234375,-100.77926635742188,-67.2125015258789,-64.49541473388672,-57.2658576965332,-62.12334442138672,1,1,1,1,1685982476.5791717
False,2.6165406703948975,7.9698615074157715,1.262294888496399,0.8720974922180176,-1,-1,-1,-1,-69.96221923828125,-76.1727066040039,-68.10164642333984,-73.26841735839844,-96.18231201171875,-96.31382751464844,-94.24821472167969,-105.7696304321289,0,0,0,0,1685982477.087808
True,1.8294024467468262,7.822631359100342,1.499560832977295,0.9117358326911926,8.02400016784668,7.315999984741211,7.268799781799316,7.646399974822998,-91.57571411132812,-101.25109100341797,-93.79257202148438,-100.67494201660156,-64.77174377441406,-63.170528411865234,-58.69682693481445,-62.78508758544922,1,1,1,1,1685982477.5949223
True,1.7150253057479858,7.763869762420654,1.5064090490341187,0.6348114013671875,7.976799964904785,7.315999984741211,7.268799781799316,7.646399974822998,-65.02206420898438,-67.60002899169922,-63.79171371459961,-94.88806915283203,-65.6346206665039,-61.67436981201172,-58.74498748779297,-63.1431999206543,1,1,1,1,1685982478.1019387
True,1.7150253057479858,7.763869762420654,1.5064090490341187,0.6348114013671875,7.976799964904785,7.315999984741211,7.268799781799316,7.646399974822998,-65.02206420898438,-67.60002899169922,-63.79171371459961,-94.88806915283203,-65.6346206665039,-61.67436981201172,-58.74498748779297,-63.1431999206543,1,1,1,1,1685982478.608705
True,1.9477041959762573,7.914520263671875,1.5383034944534302,0.8756576776504517,8.118399620056152,7.457600116729736,7.457600116729736,7.788000106811523,-78.59197998046875,-92.47188568115234,-81.72986602783203,-91.23458862304688,-63.28963088989258,-60.89360046386719,-59.14451599121094,-66.02938842773438,1,1,1,1,1685982479.114096
True,1.7308915853500366,7.936534404754639,1.5426874160766602,0.8306812644004822,8.165599822998047,7.504799842834473,7.504799842834473,7.788000106811523,-68.43079376220703,-78.02606201171875,-68.6432876586914,-73.19934844970703,-62.947837829589844,-60.68655014038086,-60.94886779785156,-69.14361572265625,1,1,1,1,1685982479.620044
True,1.6873410940170288,7.58065128326416,1.9487769603729248,0.6448336243629456,8.071200370788574,7.410399913787842,7.457600116729736,7.740799903869629,-100.70227813720703,-102.37149810791016,-100.54765319824219,-101.22975158691406,-62.16133499145508,-59.35653305053711,-63.70135498046875,-66.86138916015625,1,1,1,1,1685982480.1254647
True,1.6894404888153076,7.366048336029053,2.202070474624634,0.8141790628433228,8.118399620056152,7.457600116729736,7.457600116729736,7.788000106811523,-64.3166732788086,-65.67935180664062,-63.637168884277344,-93.99034118652344,-60.42091369628906,-59.24058532714844,-60.02573776245117,-67.77937316894531,1,1,1,1,1685982480.6310227
True,1.6900029182434082,7.303320407867432,2.2267069816589355,0.8176851272583008,8.118399620056152,7.457600116729736,7.457600116729736,7.788000106811523,-73.61478424072266,-67.0158462524414,-64.78060913085938,-78.64095306396484,-60.65815353393555,-58.599609375,-60.570823669433594,-67.33094787597656,1,1,1,1,1685982481.136768
True,1.682942509651184,7.088450908660889,2.5285632610321045,1.0950955152511597,8.165599822998047,7.504799842834473,7.552000045776367,7.83519983291626,-67.61884307861328,-82.87146759033203,-69.32842254638672,-77.15283966064453,-63.22776412963867,-58.41123580932617,-61.22911071777344,-66.05101776123047,1,1,1,1,1685982481.6419954
True,1.6945068836212158,7.064830303192139,2.5653188228607178,0.9159459471702576,8.212800025939941,7.5991997718811035,7.5991997718811035,7.882400035858154,-69.54409790039062,-77.83829498291016,-68.5297622680664,-74.7496109008789,-64.27928924560547,-59.78826904296875,-60.92959976196289,-68.7220230102539,1,1,1,1,1685982482.1472857
False,2.6213266849517822,7.064830303192139,2.5653188228607178,0.9159459471702576,-1,-1,-1,-1,-103.15989685058594,-101.88795471191406,-100.54720306396484,-101.16899871826172,-96.68894958496094,-98.43314361572266,-95.10747528076172,-113.81822204589844,0,0,0,0,1685982482.6531062
True,1.8370200395584106,7.025969505310059,2.556868076324463,1.0056017637252808,8.165599822998047,7.504799842834473,7.552000045776367,7.83519983291626,-66.06410217285156,-70.54352569580078,-64.9004898071289,-99.39380645751953,-62.643497467041016,-57.728233337402344,-64.29703521728516,-66.01132202148438,1,1,1,1,1685982483.1630535
True,1.7078304290771484,7.0743937492370605,2.574828863143921,0.914093017578125,8.260000228881836,7.5991997718811035,7.646399974822998,7.929599761962891,-65.67853546142578,-69.79602813720703,-75.62409210205078,-64.80323028564453,-61.82752227783203,-58.85013198852539,-61.68375015258789,-67.68055725097656,1,1,1,1,1685982483.6687298
True,1.7078304290771484,7.0743937492370605,2.574828863143921,0.914093017578125,8.260000228881836,7.5991997718811035,7.646399974822998,7.929599761962891,-65.67853546142578,-69.79602813720703,-75.62409210205078,-64.80323028564453,-61.82752227783203,-58.85013198852539,-61.68375015258789,-67.68055725097656,1,1,1,1,1685982484.1745265
True,1.9672471284866333,7.04387903213501,2.563760995864868,0.6893349289894104,8.212800025939941,7.552000045776367,7.552000045776367,7.882400035858154,-67.65489196777344,-80.49063110351562,-69.42980194091797,-75.21215057373047,-63.37648391723633,-58.34944152832031,-61.57059097290039,-67.53849792480469,1,1,1,1,1685982484.6804023
True,1.7370784282684326,7.0224833488464355,2.5559747219085693,0.9999936819076538,8.212800025939941,7.504799842834473,7.552000045776367,7.83519983291626,-97.21175384521484,-97.16729736328125,-96.51200103759766,-101.15859985351562,-63.80831527709961,-60.54286575317383,-61.7404899597168,-68.1373519897461,1,1,1,1,1685982485.186705
True,1.6977145671844482,7.042440414428711,2.5632386207580566,0.9139773845672607,8.212800025939941,7.552000045776367,7.552000045776367,7.882400035858154,-68.7206802368164,-72.98696899414062,-68.0455322265625,-94.15690612792969,-62.37697982788086,-58.85734176635742,-62.72890090942383,-66.56401062011719,1,1,1,1,1685982485.6920626
True,1.684412956237793,7.052231311798096,2.5668022632598877,0.9584198594093323,8.212800025939941,7.552000045776367,7.5991997718811035,7.882400035858154,-92.54666137695312,-92.48632049560547,-97.04153442382812,-93.42841339111328,-61.15228271484375,-57.50132751464844,-63.536231994628906,-65.92460632324219,1,1,1,1,1685982486.1986494
True,1.6886000633239746,7.054632186889648,2.567676305770874,0.8206708431243896,8.212800025939941,7.552000045776367,7.5991997718811035,8.02400016784668,-66.2526626586914,-79.56573486328125,-69.02201080322266,-75.47901916503906,-64.11846923828125,-59.5350341796875,-61.722618103027344,-69.43444061279297,1,1,1,1,1685982486.705014
True,1.6865410804748535,7.003668308258057,2.672261953353882,0.9220157265663147,8.260000228881836,7.5991997718811035,7.5991997718811035,7.929599761962891,-68.84132385253906,-78.7655029296875,-68.84100341796875,-73.91597747802734,-62.705902099609375,-60.36537170410156,-62.17613983154297,-67.8160400390625,1,1,1,1,1685982487.2110991
True,1.6798597574234009,6.970526695251465,2.6737987995147705,0.4155522584915161,8.260000228881836,7.5991997718811035,7.5991997718811035,7.929599761962891,-70.03408813476562,-68.01642608642578,-65.76896667480469,-90.85230255126953,-62.86239242553711,-60.4091911315918,-61.38392639160156,-67.9767837524414,1,1,1,1,1685982487.7172
False,2.611882209777832,6.970526695251465,2.6737987995147705,0.4155522584915161,-1,-1,-1,-1,-68.3779296875,-74.30081176757812,-66.61253356933594,-98.8687515258789,-94.64361572265625,-98.88855743408203,-95.19340515136719,-107.6009521484375,0,0,0,0,1685982488.2224367
True,1.8237122297286987,6.956140041351318,2.6700754165649414,0.40505027770996094,8.260000228881836,7.5991997718811035,7.5991997718811035,7.929599761962891,-101.5446548461914,-100.47154235839844,-101.33981323242188,-101.18663024902344,-59.880313873291016,-60.03884506225586,-61.5424690246582,-67.01868438720703,1,1,1,1,1685982488.7281399
True,1.7195707559585571,6.906299114227295,2.6510636806488037,0.6243245005607605,8.165599822998047,7.504799842834473,7.552000045776367,7.83519983291626,-65.18977355957031,-81.89474487304688,-69.962646484375,-76.75337219238281,-63.50816345214844,-60.619117736816406,-60.63556671142578,-69.61009979248047,1,1,1,1,1685982489.2350352
True,1.6949046850204468,6.979192733764648,2.5569167137145996,0.9986470937728882,8.165599822998047,7.504799842834473,7.552000045776367,7.83519983291626,-71.37311553955078,-79.72373962402344,-68.6829605102539,-78.20919799804688,-63.2290153503418,-59.72040557861328,-61.4842643737793,-68.55315399169922,1,1,1,1,1685982489.7415478
True,1.6906805038452148,6.998290061950684,2.549185037612915,1.0063954591751099,8.165599822998047,7.504799842834473,7.552000045776367,7.83519983291626,-70.4048080444336,-70.83915710449219,-68.04776000976562,-96.06108093261719,-62.68848419189453,-58.81196975708008,-62.755367279052734,-67.01448822021484,1,1,1,1,1685982490.2470276
True,1.6899479627609253,7.004841327667236,2.549781322479248,1.0065559148788452,8.165599822998047,7.504799842834473,7.552000045776367,7.83519983291626,-67.91336059570312,-73.63021087646484,-66.21073913574219,-99.68978881835938,-62.24785614013672,-59.00989532470703,-61.2725944519043,-68.26495361328125,1,1,1,1,1685982490.7524097
True,1.6962629556655884,6.979966163635254,2.5405242443084717,0.7292213439941406,8.165599822998047,7.504799842834473,7.504799842834473,7.83519983291626,-102.66598510742188,-102.1326675415039,-100.5379867553711,-101.4354476928711,-63.874481201171875,-61.71315002441406,-61.454593658447266,-69.3258056640625,1,1,1,1,1685982491.2588549
True,1.6841641664505005,7.026464462280273,2.557426691055298,0.9545954465866089,8.212800025939941,7.552000045776367,7.5991997718811035,7.882400035858154,-65.19915008544922,-82.03791809082031,-70.00121307373047,-76.51749420166016,-64.19473266601562,-58.64754104614258,-62.749813079833984,-67.44055938720703,1,1,1,1,1685982491.7645426
True,1.6885567903518677,7.043886184692383,2.563765287399292,0.9130375981330872,8.212800025939941,7.552000045776367,7.5991997718811035,7.882400035858154,-68.70346069335938,-83.37773895263672,-69.42987060546875,-77.40748596191406,-62.74702453613281,-60.13383483886719,-63.529693603515625,-67.9048080444336,1,1,1,1,1685982492.269395
True,1.6895794868469238,7.0236406326293945,2.556396007537842,0.6810625195503235,8.212800025939941,7.504799842834473,7.552000045776367,7.83519983291626,-70.97944641113281,-69.50315856933594,-67.08378601074219,-96.7325668334961,-61.39002227783203,-61.63178634643555,-61.62192916870117,-70.3133316040039,1,1,1,1,1685982492.7743714
True,1.6897568702697754,7.01520299911499,2.5533249378204346,0.9998215436935425,8.165599822998047,7.504799842834473,7.552000045776367,7.83519983291626,-71.48069763183594,-68.22396087646484,-65.46175384521484,-94.94921875,-62.55293655395508,-58.310028076171875,-64.1875,-66.35215759277344,1,1,1,1,1685982493.2803853
